timestamp,region,compute_usage_units,storage_usage_gb,cpu_utilization_percent,storage_utilization_percent,estimated_cost_usd,is_holiday,economic_index
2025-01-01,us-east,1091.84,1966.54,71.51,66.17,272.49,0,109.43
2025-01-01,europe-west,713.67,1606.02,54.48,76.18,226.83,0,97.4
2025-01-01,india-south,863.93,1956.62,68.57,82.74,183.84,0,107.34
2025-01-02,europe-west,709.13,1442.82,59.88,96.95,212.97,0,113.4
2025-01-02,us-east,1069.42,1845.73,54.2,63.98,261.11,0,110.71
2025-01-02,india-south,924.38,1993.7,59.6,63.87,191.3,0,103.63
2025-01-03,us-east,1072.11,1894.7,55.67,81.46,264.95,0,108.71
2025-01-03,europe-west,705.63,1613.23,73.88,78.1,226.32,0,97.38
2025-01-03,india-south,885.91,2138.4,64.98,63.3,195.67,0,113.79
2025-01-04,us-east,1043.65,1957.84,62.27,66.21,266.08,1,114.89
2025-01-04,europe-west,717.42,1569.04,69.3,60.72,224.33,1,108.94
2025-01-04,india-south,948.63,2030.84,78.95,60.55,195.5,1,113.17
2025-01-05,india-south,881.03,2021.97,64.98,76.1,188.92,1,95.27
2025-01-05,us-east,1177.83,2012.17,68.03,90.32,286.09,1,113.26
2025-01-05,europe-west,704.09,1686.69,72.18,56.28,232.08,1,108.84
2025-01-06,us-east,1062.19,2060.88,69.33,68.36,275.72,0,101.87
2025-01-06,india-south,946.48,2000.3,71.98,82.25,193.65,0,114.53
2025-01-06,europe-west,719.51,1627.86,61.94,86.56,229.39,0,109.09
2025-01-07,europe-west,718.04,1697.15,75.41,55.59,234.81,0,106.96
2025-01-07,us-east,1089.26,1993.71,73.08,70.88,274.14,0,96.94
2025-01-07,india-south,911.46,2112.78,57.79,62.59,196.58,0,100.07
2025-01-08,europe-west,631.48,1541.68,71.37,67.08,210.49,0,109.15
2025-01-08,india-south,881.79,2161.53,63.67,70.74,196.55,0,97.91
2025-01-08,us-east,1099.39,1946.52,74.19,55.65,271.95,0,98.29
2025-01-09,us-east,1086.87,2130.31,67.38,93.96,283.68,0,95.87
2025-01-09,europe-west,767.44,1578.76,74.85,58.97,231.89,0,103.77
2025-01-09,india-south,946.74,1997.21,81.57,46.36,193.51,0,96.01
2025-01-10,us-east,1111.72,1904.43,65.0,57.4,270.4,0,97.76
2025-01-10,india-south,867.79,2020.43,36.91,82.63,187.65,0,105.64
2025-01-10,europe-west,738.47,1735.61,60.45,58.24,240.7,0,105.92
2025-01-11,europe-west,754.77,1640.46,58.3,66.72,235.18,1,99.17
2025-01-11,india-south,952.98,2042.36,62.77,88.13,196.52,1,113.27
2025-01-11,us-east,1141.5,2002.53,64.68,77.8,281.04,1,104.22
2025-01-12,europe-west,751.55,1517.53,50.14,56.3,224.77,1,95.74
2025-01-12,us-east,1048.24,2099.25,76.31,75.98,276.81,1,108.41
2025-01-12,india-south,958.27,1997.15,67.79,80.02,194.55,1,111.57
2025-01-13,india-south,922.98,2194.88,68.81,67.81,202.07,0,98.15
2025-01-13,europe-west,765.76,1779.26,74.42,61.33,247.93,0,100.83
2025-01-13,us-east,1072.27,2160.09,53.66,77.33,284.07,0,108.2
2025-01-14,india-south,965.68,2185.48,53.6,76.11,205.41,0,113.52
2025-01-14,europe-west,730.67,1637.16,69.63,57.81,231.65,0,112.26
2025-01-14,us-east,1179.79,2051.53,66.03,68.23,289.16,0,108.74
2025-01-15,india-south,996.36,2106.95,76.94,55.27,203.93,0,99.09
2025-01-15,europe-west,703.02,1756.37,72.22,76.68,237.59,0,99.3
2025-01-15,us-east,1116.85,2181.56,54.95,61.1,290.96,0,95.96
2025-01-16,india-south,957.37,2053.43,77.67,63.25,197.51,0,105.32
2025-01-16,europe-west,756.53,1804.22,78.98,83.59,248.71,0,113.11
2025-01-16,us-east,1186.88,2146.12,61.36,82.98,296.81,0,106.03
2025-01-17,us-east,1166.5,2145.14,54.53,85.51,294.3,0,103.25
2025-01-17,europe-west,807.81,1762.31,63.26,80.4,252.24,0,108.23
2025-01-17,india-south,1004.72,2272.19,79.76,76.12,213.62,0,104.14
2025-01-18,india-south,981.28,2098.51,44.45,85.44,202.11,1,95.85
2025-01-18,us-east,1100.78,2037.76,77.98,60.1,278.69,1,113.28
2025-01-18,europe-west,761.61,1755.82,64.02,43.7,245.47,1,99.43
2025-01-19,india-south,994.99,2061.78,62.3,75.85,201.36,1,106.21
2025-01-19,europe-west,765.03,1713.09,50.44,55.34,242.46,1,104.64
2025-01-19,us-east,1101.21,2185.39,71.66,63.54,289.36,1,110.21
2025-01-20,europe-west,739.66,1695.01,64.39,79.18,237.56,0,110.49
2025-01-20,india-south,940.66,2224.43,71.03,92.64,205.26,0,101.55
2025-01-20,us-east,1088.86,2054.03,72.79,75.76,278.43,0,102.37
2025-01-21,europe-west,760.78,1704.84,71.11,68.88,241.22,0,108.08
2025-01-21,us-east,1065.02,2032.35,72.21,55.32,274.01,0,102.81
2025-01-21,india-south,980.8,2040.34,57.91,62.27,198.92,0,108.79
2025-01-22,india-south,991.34,2032.11,60.51,43.53,199.42,0,110.93
2025-01-22,europe-west,839.82,1741.57,68.12,83.59,254.89,0,99.66
2025-01-22,us-east,1099.07,2199.13,53.63,63.57,290.1,0,114.75
