timestamp,region,compute_usage_units,storage_usage_gb,cpu_utilization_percent,storage_utilization_percent,estimated_cost_usd,is_holiday,economic_index,day_of_week,is_weekend,month,quarter,compute_lag_1,compute_lag_7,compute_rolling_7,storage_rolling_7,compute_spike,storage_spike
2025-01-08,europe-west,579.96,1456.14,62.27,66.93,196.58,0,104.61,2,0,1,1,795.1,713.67,838.49,1760.3828571428571,0,0
2025-01-09,europe-west,549.11,1190.97,66.43,77.28,170.9,0,111.32,3,0,1,1,579.96,867.93,792.9442857142857,1674.957142857143,0,0
2025-01-13,europe-west,765.76,1779.26,74.42,61.33,247.93,0,100.83,0,0,1,1,549.11,938.2,768.3100000000001,1641.137142857143,0,0
2025-01-14,europe-west,730.67,1637.16,69.63,57.81,231.65,0,112.26,1,0,1,1,765.76,898.3,744.3628571428573,1597.6342857142859,0,0
2025-01-15,europe-west,703.02,1756.37,72.22,76.68,237.59,0,99.3,2,0,1,1,730.67,952.51,708.7214285714286,1578.0700000000002,0,0
2025-01-16,europe-west,756.53,1804.22,78.98,83.59,248.71,0,113.11,3,0,1,1,703.02,837.43,697.1642857142857,1602.3057142857144,0,0
2025-01-17,europe-west,807.81,1762.31,63.26,80.4,252.24,0,108.23,4,0,1,1,756.53,795.1,698.9799999999999,1626.6328571428571,0,0
2025-01-18,europe-west,761.61,1755.82,64.02,43.7,245.47,1,99.43,5,1,1,1,807.81,579.96,724.9300000000001,1669.4442857142856,0,0
2025-01-19,europe-west,765.03,1713.09,50.44,55.34,242.46,1,104.64,6,1,1,1,761.61,549.11,755.7757142857143,1744.032857142857,0,0
2025-01-20,europe-west,739.66,1695.01,64.39,79.18,237.56,0,110.49,0,0,1,1,765.03,765.76,752.0471428571428,1731.9971428571428,0,0
2025-01-21,europe-west,760.78,1704.84,71.11,68.88,241.22,0,108.08,1,0,1,1,739.66,730.67,756.3485714285714,1741.6657142857143,0,0
2025-01-22,europe-west,839.82,1741.57,68.12,83.59,254.89,0,99.66,2,0,1,1,760.78,703.02,775.8914285714287,1739.5514285714287,0,0
2025-01-23,europe-west,843.13,1763.82,47.3,59.94,257.14,0,114.76,3,0,1,1,839.82,756.53,788.2628571428571,1733.78,0,0
2025-01-24,europe-west,833.03,1778.13,66.73,68.58,256.93,0,95.56,4,0,1,1,843.13,807.81,791.8657142857144,1736.0400000000002,0,0
2025-01-25,europe-west,786.94,1783.33,63.87,66.1,251.12,1,113.6,5,1,1,1,833.03,761.61,795.4842857142856,1739.97,0,0
2025-01-26,europe-west,795.27,1630.39,63.97,59.8,239.84,1,101.84,6,1,1,1,786.94,765.03,799.8042857142857,1728.1557142857143,0,0
2025-01-27,europe-west,767.12,1765.83,62.21,62.45,247.02,0,113.86,0,0,1,1,795.27,739.66,803.7271428571429,1738.2728571428572,0,0
2025-01-28,europe-west,761.77,1635.86,65.26,92.42,235.75,0,108.33,1,0,1,1,767.12,760.78,803.8685714285714,1728.4185714285716,0,0
2025-01-29,europe-west,769.22,1758.77,68.86,67.57,246.73,0,113.25,2,0,1,1,761.77,839.82,793.7828571428571,1730.8757142857141,0,0
2025-01-30,europe-west,864.67,1848.46,59.13,75.07,266.92,0,109.73,3,0,1,1,769.22,843.13,796.86,1742.967142857143,0,0
2025-01-31,europe-west,828.9,1782.98,64.42,73.22,256.77,0,109.18,4,0,1,1,864.67,833.03,796.2699999999999,1743.6599999999999,0,0
2025-02-01,europe-west,709.13,1442.82,59.88,96.95,212.97,0,113.4,5,1,2,1,828.9,786.94,785.1542857142857,1695.015714285714,0,0
2025-02-02,europe-west,789.08,1856.76,55.48,72.57,257.37,1,99.63,6,1,2,1,709.13,795.27,784.2699999999999,1727.3542857142857,0,0
2025-02-03,europe-west,868.78,2008.93,60.99,79.4,280.5,1,107.15,0,0,2,1,789.08,767.12,798.7928571428572,1762.0828571428572,0,0
2025-02-04,europe-west,932.85,2023.13,50.5,68.83,290.31,0,109.42,1,0,2,1,868.78,761.77,823.2328571428571,1817.4071428571426,0,0
2025-02-05,europe-west,855.41,1794.26,58.99,55.52,261.27,0,112.74,2,0,2,1,932.85,769.22,835.5457142857142,1822.4771428571428,0,0
2025-02-06,europe-west,790.47,1878.48,73.43,91.01,259.32,0,102.85,3,0,2,1,855.41,864.67,824.9457142857143,1826.7657142857145,0,0
2025-02-07,europe-west,629.3,1666.74,56.42,85.02,220.34,0,96.13,4,0,2,1,790.47,828.9,796.4314285714287,1810.16,0,0
2025-02-08,europe-west,653.85,1403.41,85.61,64.04,202.3,1,109.37,5,1,2,1,629.3,709.13,788.5342857142857,1804.5300000000002,0,0
2025-02-09,europe-west,544.48,1377.97,56.75,64.33,185.44,0,98.26,6,1,2,1,653.85,789.08,753.5914285714287,1736.1314285714286,0,0
2025-02-13,europe-west,790.08,1808.39,72.09,69.48,253.58,0,98.38,3,0,2,1,544.48,868.78,742.3485714285714,1707.4828571428573,0,0
2025-02-14,europe-west,845.09,1848.5,64.81,61.5,264.28,0,98.69,4,0,2,1,790.08,932.85,729.8114285714286,1682.5357142857142,0,0
2025-02-15,europe-west,896.93,1937.39,73.3,73.74,278.5,1,112.06,5,1,2,1,845.09,855.41,735.7428571428572,1702.9828571428573,0,0
2025-02-16,europe-west,838.78,1936.78,80.32,78.97,270.58,1,100.18,6,1,2,1,896.93,790.47,742.6442857142857,1711.3114285714287,0,0
2025-02-17,europe-west,921.27,1940.9,58.19,68.25,282.08,0,109.03,0,0,2,1,838.78,629.3,784.3542857142857,1750.4771428571428,0,0
2025-02-18,europe-west,951.97,1911.93,54.55,74.81,283.88,0,96.82,1,0,2,1,921.27,653.85,826.9428571428571,1823.1228571428571,0,0
2025-02-19,europe-west,900.76,1772.31,53.36,70.08,265.62,0,96.9,2,0,2,1,951.97,544.48,877.84,1879.457142857143,0,0
2025-02-20,europe-west,873.0,1866.54,85.81,65.46,269.51,0,112.02,3,0,2,1,900.76,790.08,889.6857142857143,1887.7642857142855,0,0
2025-02-21,europe-west,877.9,1908.29,64.27,63.52,273.56,0,108.12,4,0,2,1,873.0,845.09,894.3728571428571,1896.3057142857142,0,0
2025-02-22,europe-west,760.91,1981.03,38.96,86.97,263.64,1,98.6,5,1,2,1,877.9,896.93,874.9414285714284,1902.5400000000002,0,0
2025-02-23,europe-west,855.82,1900.75,80.37,67.91,269.97,1,110.58,6,1,2,1,760.91,838.78,877.3757142857143,1897.392857142857,0,0
2025-02-24,europe-west,845.57,1903.4,57.6,70.15,268.8,0,107.51,0,0,2,1,855.82,921.27,866.5614285714286,1892.0357142857142,0,0
2025-02-25,europe-west,885.69,1966.42,37.45,75.07,279.33,0,105.91,1,0,2,1,845.57,951.97,857.0928571428573,1899.82,0,0
2025-02-26,europe-west,902.12,2015.79,45.69,54.69,285.56,0,104.08,2,0,2,1,885.69,900.76,857.2871428571428,1934.6028571428571,0,0
2025-02-27,europe-west,889.25,1876.08,52.85,79.16,272.48,0,108.02,3,0,2,1,902.12,873.0,859.6085714285715,1935.9657142857143,0,0
2025-02-28,europe-west,879.11,1935.37,63.48,57.22,275.92,0,104.29,4,0,2,1,889.25,877.9,859.7814285714286,1939.8342857142857,0,0
